"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
250,"2018-01-02 18:20:06.1050","2018-01-02 18:24:16.1640",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31880,"Subscriber",1995,1
199,"2018-01-02 18:31:11.9870","2018-01-02 18:34:31.1880",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29623,"Subscriber",1980,1
225,"2018-01-02 18:38:50.5100","2018-01-02 18:42:36.2120",3183,"Exchange Place",40.7162469,-74.0334588,3185,"City Hall",40.7177325,-74.043845,31691,"Subscriber",1992,1
242,"2018-01-02 18:41:29.5240","2018-01-02 18:45:32.3240",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,26314,"Subscriber",1981,0
214,"2018-01-02 18:42:30.3030","2018-01-02 18:46:04.4630",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29581,"Subscriber",1991,1
218,"2018-01-02 19:29:20.7870","2018-01-02 19:32:59.1490",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31954,"Subscriber",1991,1
318,"2018-01-02 19:30:19.4880","2018-01-02 19:35:37.5450",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29615,"Subscriber",1978,1
342,"2018-01-02 22:02:47.6070","2018-01-02 22:08:29.7410",3183,"Exchange Place",40.7162469,-74.0334588,3276,"Marin Light Rail",40.71458403535893,-74.04281705617905,29598,"Subscriber",1983,1
100,"2018-01-03 04:40:54.0460","2018-01-03 04:42:34.9240",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,31949,"Subscriber",1989,1
145,"2018-01-03 07:37:38.2320","2018-01-03 07:40:03.3790",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,31859,"Subscriber",1966,1
235,"2018-01-03 10:29:39.0410","2018-01-03 10:33:34.2850",3183,"Exchange Place",40.7162469,-74.0334588,3481,"York St",40.71649,-74.04105,31739,"Subscriber",1991,1
520,"2018-01-03 13:06:21.2860","2018-01-03 13:15:01.5970",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,26288,"Subscriber",1965,2
103,"2018-01-03 13:39:33.2730","2018-01-03 13:41:16.3960",3183,"Exchange Place",40.7162469,-74.0334588,3639,"Harborside",40.7192517,-74.034234,29581,"Subscriber",1990,1
328,"2018-01-03 14:32:13.4560","2018-01-03 14:37:41.7570",3183,"Exchange Place",40.7162469,-74.0334588,3213,"Van Vorst Park",40.71848892,-74.047726625,29616,"Subscriber",1986,1
631,"2018-01-03 14:47:39.1120","2018-01-03 14:58:10.9880",3183,"Exchange Place",40.7162469,-74.0334588,3192,"Liberty Light Rail",40.7112423,-74.0557013,31701,"Subscriber",1981,2
415,"2018-01-03 15:29:59.9960","2018-01-03 15:36:55.7380",3183,"Exchange Place",40.7162469,-74.0334588,3213,"Van Vorst Park",40.71848892,-74.047726625,31842,"Subscriber",1971,1
289,"2018-01-03 16:21:28.3330","2018-01-03 16:26:17.4940",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29641,"Subscriber",1968,1
5045,"2018-01-03 16:26:50.1690","2018-01-03 17:50:55.9730",3183,"Exchange Place",40.7162469,-74.0334588,3183,"Exchange Place",40.7162469,-74.0334588,29598,"Customer",1969,0
297,"2018-01-03 16:34:00.8870","2018-01-03 16:38:58.7300",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,31934,"Subscriber",1965,2
180,"2018-01-03 16:37:55.7250","2018-01-03 16:40:56.1260",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,31890,"Subscriber",1954,2
275,"2018-01-03 16:47:59.0030","2018-01-03 16:52:34.7120",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31762,"Subscriber",1974,1
232,"2018-01-03 17:01:21.7840","2018-01-03 17:05:14.3390",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,26288,"Subscriber",1988,1
606,"2018-01-03 17:02:11.5620","2018-01-03 17:12:17.7690",3183,"Exchange Place",40.7162469,-74.0334588,3192,"Liberty Light Rail",40.7112423,-74.0557013,29644,"Subscriber",1985,1
304,"2018-01-03 17:24:45.5190","2018-01-03 17:29:49.7970",3183,"Exchange Place",40.7162469,-74.0334588,3187,"Warren St",40.7211236,-74.03805095,29669,"Subscriber",1980,1
453,"2018-01-03 17:26:55.7380","2018-01-03 17:34:29.0040",3183,"Exchange Place",40.7162469,-74.0334588,3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,26275,"Subscriber",1994,1
209,"2018-01-03 17:27:48.7310","2018-01-03 17:31:18.0500",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,31874,"Subscriber",1960,1
12537,"2018-01-03 17:29:09.3110","2018-01-03 20:58:07.2870",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,26229,"Subscriber",1980,2
524,"2018-01-03 17:43:22.3260","2018-01-03 17:52:06.4840",3183,"Exchange Place",40.7162469,-74.0334588,3269,"Brunswick & 6th",40.72601172964625,-74.05038893222809,31860,"Subscriber",1976,1
498,"2018-01-03 17:53:16.6970","2018-01-03 18:01:35.5120",3183,"Exchange Place",40.7162469,-74.0334588,3211,"Newark Ave",40.72152515,-74.046304543,31683,"Subscriber",1980,1
1132,"2018-01-03 17:56:02.4980","2018-01-03 18:14:55.4040",3183,"Exchange Place",40.7162469,-74.0334588,3207,"Oakland Ave",40.7376037,-74.0524783,26257,"Subscriber",1981,1
285,"2018-01-03 17:57:02.6580","2018-01-03 18:01:47.6960",3183,"Exchange Place",40.7162469,-74.0334588,3185,"City Hall",40.7177325,-74.043845,29598,"Subscriber",1988,1
229,"2018-01-03 18:21:33.0500","2018-01-03 18:25:23.0270",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29635,"Subscriber",1988,1
260,"2018-01-03 18:24:21.9540","2018-01-03 18:28:42.4500",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31868,"Subscriber",1994,1
234,"2018-01-03 20:58:09.7970","2018-01-03 21:02:03.7990",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,31845,"Subscriber",1993,1
437,"2018-01-03 20:59:41.1030","2018-01-03 21:06:58.2990",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,31762,"Subscriber",1986,1
1157,"2018-01-04 18:27:31.9320","2018-01-04 18:46:48.9590",3183,"Exchange Place",40.7162469,-74.0334588,3207,"Oakland Ave",40.7376037,-74.0524783,29588,"Subscriber",1981,1
336,"2018-01-04 19:58:26.4350","2018-01-04 20:04:03.2780",3183,"Exchange Place",40.7162469,-74.0334588,3214,"Essex Light Rail",40.7127742,-74.0364857,31743,"Subscriber",1991,1
1367,"2018-01-05 13:08:00.5470","2018-01-05 13:30:47.9020",3183,"Exchange Place",40.7162469,-74.0334588,3211,"Newark Ave",40.72152515,-74.046304543,31675,"Subscriber",1971,1
361,"2018-01-05 13:24:51.6430","2018-01-05 13:30:53.2270",3183,"Exchange Place",40.7162469,-74.0334588,3267,"Morris Canal",40.7124188237569,-74.03852552175522,29635,"Subscriber",1974,1
118,"2018-01-05 14:36:31.4140","2018-01-05 14:38:30.3570",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,31716,"Subscriber",1976,1
647,"2018-01-05 17:09:17.2170","2018-01-05 17:20:04.4160",3183,"Exchange Place",40.7162469,-74.0334588,3272,"Jersey & 3rd",40.72333158646436,-74.04595255851744,31908,"Subscriber",1970,1
618,"2018-01-05 17:30:35.4410","2018-01-05 17:40:53.9550",3183,"Exchange Place",40.7162469,-74.0334588,3273,"Manila & 1st",40.721650724879986,-74.04288411140442,32843,"Subscriber",1983,1
122,"2018-01-05 17:31:06.8840","2018-01-05 17:33:08.9190",3183,"Exchange Place",40.7162469,-74.0334588,3184,"Paulus Hook",40.7141454,-74.0335519,31691,"Subscriber",1960,1
